country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.11.26,1176.30,1196.88,1155.72,1187.80,1164.80,1190.41,1163.65
JAPAN,2019.11.26,1079.62,1098.51,1060.73,1090.20,1069.04,1090.41,1068.54
EUROPE,2019.11.26,1295.64,1321.42,1269.86,1308.59,1282.69,1315.07,1282.17
CHINA,2019.11.26,167.45,175.82,159.08,169.12,165.78,N/A,N/A
CANADA,2019.11.26,883.97,901.38,866.56,892.80,875.14,897.22,874.20
AUSTRALIA,2019.11.26,797.83,813.54,782.12,805.80,789.86,809.79,789.25
