country,date,exchange,buying cash,selling cash,sending money,getting money,buying TC,selling check
미국,2019.11.22,"1,178.00","1,198.61","1,157.39","1,189.50","1,166.50","1,192.13","1,165.34"
일본,2019.11.22,"1,084.37","1,103.34","1,065.40","1,094.99","1,073.75","1,095.21","1,073.25"
유럽연합,2019.11.22,"1,303.81","1,329.75","1,277.87","1,316.84","1,290.78","1,323.36","1,290.25"
중국,2019.11.22,167.34,175.70,158.98,169.01,165.67,N/A,N/A
캐나다,2019.11.22,887.78,905.26,870.30,896.65,878.91,901.09,877.96
호주,2019.11.22,800.92,816.69,785.15,808.92,792.92,812.93,792.29
