country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.05,1189.80,1210.62,1168.98,1201.40,1178.20,1204.07,1177.03
JAPAN,2019.12.05,1093.62,1112.75,1074.49,1104.33,1082.91,1104.55,1082.43
EUROPE,2019.12.05,1318.60,1344.84,1292.36,1331.78,1305.42,1338.37,1304.89
CHINA,2019.12.05,168.68,177.11,160.25,170.36,167.00,N/A,N/A
CANADA,2019.12.05,902.32,920.09,884.55,911.34,893.30,915.85,892.30
AUSTRALIA,2019.12.05,813.82,829.85,797.79,821.95,805.69,826.02,804.88
