country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.09,1190.80,1211.63,1169.97,1202.40,1179.20,1205.08,1178.03
JAPAN,2019.12.09,1097.21,1116.41,1078.01,1107.96,1086.46,1108.18,1085.97
EUROPE,2019.12.09,1317.68,1343.90,1291.46,1330.85,1304.51,1337.44,1303.98
CHINA,2019.12.09,169.23,177.69,160.77,170.92,167.54,N/A,N/A
CANADA,2019.12.09,898.17,915.86,880.48,907.15,889.19,911.64,888.20
AUSTRALIA,2019.12.09,812.78,828.79,796.77,820.90,804.66,824.97,803.86
