country,date,exchange,-----------,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.11.29,-------,-------,1159.35,1191.50,1168.50,1194.16,1167.34
JAPAN,2019.11.29,-------,-------,1058.33,1087.73,1066.63,1087.95,1066.15
EUROPE,2019.11.29,-------,-------,1272.52,1311.33,1285.37,1317.82,1284.85
CHINA,2019.11.29,------,------,159.59,169.65,166.31,N/A,N/A
CANADA,2019.11.29,------,------,870.31,896.66,878.92,901.10,877.92
AUSTRALIA,2019.11.29,------,------,783.88,807.62,791.64,811.62,790.87
